"","UMAP1","UMAP2","Group"
"S01543",-0.111490964361957,10.5374540909657,"lung NETs Ca A1"
"S01544",2.84583481156976,1.45875101574576,"LCNEC"
"S01545",0.169414599167582,12.3725449468646,"lung NETs Ca A1"
"S01546",-9.26428790815106,-2.81091953422757,"lung NETs Ca A2"
"S01556",3.37167866071786,2.33686231827161,"SCLC"
"S01563",3.28067966816446,-0.150650240351483,"SCLC"
"S01567",-1.95019999061653,2.15988624519403,"lung NETs Ca B"
"S01572",0.340551537939329,11.1465118234267,"lung NETs Ca A1"
"S01573",0.847483271525693,11.2386357726245,"lung NETs Ca A1"
"S01574",1.97433641197678,0.385020043325617,"LCNEC"
"S01578",3.37621158571546,-0.35448379334427,"SCLC"
"S01580",2.44048667683375,0.621586669771789,"LCNEC"
"S01581",3.01896167388881,-0.322517091432799,"LCNEC"
"S01582",-10.2573868225032,-2.70053087288243,"lung NETs Ca A2"
"S01583",-10.2409983330202,-2.61855121144261,"lung NETs Ca A2"
"S01584",-10.3003996089544,-2.71515803700773,"lung NETs Ca A2"
"S01585",-10.2267627459769,-2.63122143116128,"lung NETs Ca A2"
"S01586",2.02551783742071,0.499608988197512,"LCNEC"
"S01590",0.19744153604482,12.0742045892401,"lung NETs Ca A1"
"S01593",-10.1936123803809,-2.73738480519898,"lung NETs Ca A2"
"S01666",-2.34810470748147,3.60997447492496,"lung NETs Ca B"
"S01698",3.3571846877456,-0.192642614571612,"SCLC"
"S01707",1.85463894998035,0.574047016810705,"LCNEC"
"S01728",3.32434683406796,-0.216505524981828,"SCLC"
"S01731",-9.29268423574726,-2.94358875409322,"lung NETs Ca A2"
"S01733",0.104825365615776,12.2678725188555,"lung NETs Ca A1"
"S01742",0.538984172762767,10.838750475465,"lung NETs Ca A1"
"S01746",0.0405360667587036,10.3687545539454,"lung NETs Ca A1"
"S01763",2.71573875467826,0.766754060231879,"LCNEC"
"S01792",3.66209700433321,-0.390880366477964,"SCLC"
"S02065",3.7220954932857,-0.860043955688934,"SCLC"
"S02093",3.2562610992792,-0.0652682320443662,"SCLC"
"S02120",3.62282480758709,-0.900867316503128,"SCLC"
"S02126",1.61459725706745,11.8256044937858,"lung NETs Ca A1"
"S02139",4.10660293299166,-0.325327193529289,"SCLC"
"S02154",0.263840545285951,11.5641843498326,"lung NETs Ca A1"
"S02162",1.31918435526441,10.9636869141809,"lung NETs Ca A1"
"S02163",4.0503217188286,-0.513936559229113,"SCLC"
"S02194",3.63364401840944,0.449823797666588,"SCLC"
"S02209",3.10659261308549,2.3740545118098,"SCLC"
"S02229",3.71363383238905,-0.540499269722898,"LCNEC"
